Konsulentrolle,Rollekategori,Kompetansekrav,Erfaringskrav,Konsulentegenskaper,Kundenavn,Bransje,Årstall
Rådgiverrolle,Rådgivning forretning,"Kompetanse i organisasjonsutvikling, ledelse og styring.",Erfaring med helhetlig virksomhetsstyring i kommunesektor.,Evne til å gjennomføre systematisk evaluering og identifisere forbedringspotensial.,Lørenskog kommune,Kommuner,2020
Prosjektledelse,Prosjektledelse,"Ekspertise innen planlegging, gjennomføring og evaluering av prosjekter innen organisasjonsutvikling.",Erfaring med prosjektledelse i kommunal sektor.,Strukturert tilnærming og gode kommunikasjonsferdigheter.,Lørenskog kommune,Kommuner,2020
Faglig rådgivning,Rådgivning teknisk,Ekspertise i organisasjonsutvikling og implementering av endringsprosesser.,Erfaring med rådgiving for ledergrupper innen organisasjonsendringer.,Analytisk sans og strategisk tenkning.,Lørenskog kommune,Kommuner,2020
Digitaliseringsrådgiver i Digitaliseringsprogrammet,Rådgivning teknisk,,,,Landsorganisasjonen i Norge (LO),Handel og Industri,2022
Prosjektleder for Prisprosjektet 2022,Prosjektledelse,"Erfaring med design, utvikling og innføring av prismodeller og faktureringsprosesser, samt evne til å samarbeide med både lokale og europeiske eksperter.","Tidligere erfaring innen prosjektledelse, inkludert funksjonell løsningsarkitektur, og erfaring med arbeid i internasjonale Scrum-teams.","Evne til å lede analyse, veilede og opplære nytt personell, samt håndtere teknisk gjeld og integrasjoner.",Euronext Securities Oslo,Bank og forsikring,2020
HR-rådgiver for gjennomgang av kjerneprosesser,Rådgivning forretning,"Senior HR faglig strategisk kompetanse innen arbeidsrett, leder- og medarbeiderutvikling, systematisk HR og HMS","Erfaring med utvikling, oppbygning og implementering av kjerneprosesser innen HR og organisasjon, rutiner og arbeidsmetoder innen HR tilpasset digitale verktøy og gjeldende bestemmelser",,Norsk kulturråd,Offentlig og stat,2021
Prosjektleder for anskaffelse av ny statlig fellesavtale,Prosjektledelse,,,,Direktoratet for økonomistyring,Offentlig og stat,2021
Løsningsarkitekt og prosjektstøtte,Løsningsarkitektur,"Kompetanse innen IAM, erfaring med laboratorie- og journal-løsninger","Erfaring med å utvikle metodeverk og målbilder for IAM, erfaring med tilgangsstyring","Evne til å bistå i anskaffelsesprosesser og med dokumentasjon, koordineringsevne",Sykehuspartner,Helse,2021
"Assisterende programleder, program kodeverk og terminologi",Programledelse,"Kompetanse innen helsefaglige klassifikasjoner, samordning av prosedyrekodeverk, SNOMED CT, terminologiserver for forvaltning av nasjonale kodeverk.","Erfaring med smidig tilnærming, prosjektledelse spesielt innen helse- og IKT-sektoren.",,Direktoratet for e-helse,Helse,2021
Oppfølging av administrative forberedelser i SPK,Offentlig kvalitetssikring,Kompetanse på eierstyring av komplekse IKT satsninger,Erfaring med gjennomføring og måloppnåelse for IKT prosjekter,"Evne til å gi uavhengige vurderinger, råd og anbefalinger",Arbeids- og sosialdepartementet,Offentlig og stat,2021
Utreder for statlig tilskuddsforvaltning,Rådgivning teknisk,"Kompetanse innen arkitektur, teknologi og kostnadsanalyse",Erfaring med smidig metodikk og prosjektgjennomføring,Evne til å gjennomføre intervjuer og analysere risiko og kostnader,Direktoratet for økonomistyring,Offentlig og stat,2021
Faglig rådgiver og utreder,Rådgivning teknisk,,,,KS,Kommuner,2021
Digitalisering av eiendomsforvaltning,Prosjektledelse,Kompetanse innen digitale eiendomsadministrative- og driftstekniske systemer.,"Erfaring med ledelse og bemanning av konseptutredninger, planlegging, gjennomføring og rapportering i prosjekter.","Evne til å dokumentere, lede og organisere samarbeid med interessenter, samt kontrollere omfang, økonomi og fremdrift.",Helse Sør-Øst RHF,Helse,2021
EPJ-arkitektur,Virksomhetsarkitektur,"Spesialkompetanse innen EPJ-arkitektur, klinisk innhold og informasjonsmodeller for EPJ-systemer","Erfaring med implementering og bruk av EPJ-systemer i spesialisthelsetjenesten, migrering av data eller konvertering",,Arkivverket,Offentlig og stat,2021
Prosjektleder IT-innovasjon,Prosjektledelse,"Prosjektledelse innen leverandørstyring, oppdatering av virksomhetsarkitekturen, utvikling av felles begrepshåndbok",,,Arkivverket,Offentlig og stat,2021
Testleder Adm. IKT,Test og kvalitetsikring,,,,Oslobygg KF,Kommuner,2021
Endringsleder,Endringsledelse,,,,Oslobygg KF,Kommuner,2021
Testleder Basis IKT,Test og kvalitetsikring,,,,Oslobygg KF,Kommuner,2021
Innføringskoordinator MF Helse,Prosjektledelse,,,,Direktoratet for e-helse,Helse,2021
Oppdragsledelse for kartlegging av drift og forvaltning av IKT-løsninger,Prosjektledelse,"Erfaring med å utforme, gjennomføre og analysere spørreundersøkelser i offentlig sektor.",Erfaring med prosjektledelse og kommunikasjon med statlige virksomheter.,Evne til å analysere og rapportere data på en strukturert måte.,Kommunal- og moderniseringsdepartementet,Offentlig og stat,2021
Prosjektleder/rådgiver for prosjekt Charge Courts,Prosjektledelse,N/A,N/A,N/A,Recharge AS,Handel og industri,2021
Prosjektleder for migrering,Prosjektledelse,Solid erfaring med prosjektledelse innen migreringsprosjekter for bankløsninger,Erfaring med migrering av kjernebankløsninger og ledelse av tverrfaglige team,Gode kommunikasjons- og lederegenskaper,Eika Gruppen AS,Bank og forsikring,2021
Prosjektleder/prosjektkoordinator for tverrfaglig team,Prosjektledelse,Erfaring med å gi faglig støtte til banksektoren,Erfaring med tverrfaglig koordinering innen banker,Gode samarbeids- og organiseringsegenskaper,Eika Gruppen AS,Bank og forsikring,2021
Prosjektleder/prosjektkoordinator av fagområder i linjen,Prosjektledelse,"Kunnskap om fagområdene utlån, antihvitvask, betaling, kort og nettbank bedrift",Bred erfaring innen ulike bankfagområder,Gode evner til å håndtere komplekse oppgaver,Eika Gruppen AS,Bank og forsikring,2021
Bistand endringsledelse,Endringsledelse,"Erfaring med ACMP rammeverket for endringsledelse, kommunikasjon og forankring.","Erfaring med interessentanalyse på organisasjons- og individnivå, og med å inkludere endringsledelse i kundens eksisterende rammeverk.","Strukturert tilnærming, evne til god kommunikasjon.",Bits AS,Bank og forsikring,2021
Senior prosjektstøtte Nasjonal styringsmodell,Rådgivning teknisk,"Kunnskap om porteføljestyring, nasjonal e-helse strategi og veikart for nasjonale e-helseløsninger",Erfaring med utvikling og forvaltning av porteføljestyring,Evne til å effektivisere og øke kvaliteten på analyse og arbeidsprosesser,Direktoratet for e-helse,Helse,2021
Prosessleder for oppfølgingsplan autorisasjonsprøven,Prosessledelse og fasilitering,"Kunne rigge og planlegge arbeidet, lede og fasilitere fagdiskusjoner internt og eksternt, oppsummere og utarbeide endelig plan",,"Tar lederskap, gode kommunikasjonsevner, samhandlingskompetanse",OsloMet,Offentlig sektor,2021
Prosessleder Kontraktsforvaltning,Prosessledelse og fasilitering,"Kunnskap om offentlige anskaffelser, ledelse av tverrfaglige prosjekter og prosesser","Erfaring med offentlige anskaffelser, ledelse av tverrfaglige prosjekter og prosesser","Høy etisk standard, bevissthet rundt likebehandling, evne til å bygge bro mellom tverrfaglig miljø, proaktiv, evne til å gi tilbakemeldinger og fjerne hindringer",Ruter AS,Offentlig transport,2021
Prosessleder til prosjekt grunndata og tillitstjenester,Prosjektledelse,,,,Direktoratet for e-helse,Helse,2021
Prosjektleder for digitalisering i koronavaksinasjonsprogrammet,Prosjektledelse,,,,Folkehelseinstituttet,Helse,2021
Prosjektleder for prosjektet Bedre digitalt samspill,Prosjektledelse,"Prosjektledelse, prosessledelse, innovasjons- og endringsledelse, organisasjonsutvikling, prosjektveiviseren, PRINCE2, smidig metodikk, gevinstrealisering, strategiutvikling, kunnskapsinnhenting og styringsgruppesaker",,"Analytisk tilnærming, endringsledelse og teft for å finne pragmatiske løsninger",Drammen kommune,Kommuner,2021
Prosjektleder SAMDATA,Prosjektledelse,"Strategisk rådgivning, eierstyring, porteføljestyring, prosjektstyring, risikostyring, leveransestyring, kvalitetsstyring, mulighetsstudier",Erfaring med porteføljestyringen av flere delprosjekter og arbeid i komplekse samarbeid mellom ulike transportorganisasjoner,"Evne til å ivareta det overordnede perspektivet, sørge for fremdrift og struktur, samt sikre godt tverrfaglig samarbeid og god kvalitet",Ruter AS,Offentlig og stat,2021
Konverteringsansvarlig,Prosjektledelse,"Erfaring med migrering/datakonvertering og koordinering av datauttrekk, konsolidering, vasking, og import.","Evne til å samarbeide tett med fagressurser, systemkonsulenter, og testleder.","God til å ivareta rutiner for sensitive data, sikre informasjonsutveksling, og oppfylle tidsfrister.",Sykehusapotekene,Helse,2021
Prosjektleder for konseptfasen av EEG-system,Prosjektledelse,"Erfaring med prosjektledelse i helsesektoren, kjennskap til EEG-utstyr og nevrofysiologi",Erfaring med store teknologiprosjekter med regionale perspektiver,"Gode kommunikasjonsevner, strategisk tenkning, evne til samhandling",Helse Sør-Øst RHF,Helse,2021
Del-prosjektleder for LOfavør Advokatforsikring fra HELP,Lede agilt team,,,,LO,Handel og industri,2021
Prosjektleder for LOfavør Gruppelivsforsikring,Prosjektledelse,,,,LO,Handel og industri,2021
Rådgivning for teknologi-strategi og støtte til planlegging,Rådgivning teknisk,,,,iMAL Norge AS,Handel og industri,2021
Workshop fasilitator og tjenestedesigner,Prosessledelse og fasilitering,"Kompetanse i tjenestedesign og fasilitering av workshops, digital samhandling via Miro, brukerintervjuer, ideutvikling, brukerreise-kartlegging, konseptutvikling, prototyping, coaching, kvalitetssikring av presentasjoner","Erfaring med planlegging og gjennomføring av tjenestedesign-sprinter, arbeidsmetoder for kompetanseheving, samarbeid, digitalisering, og endring","Evne til å intervjue relevante brukere, konkretisere og illustrere foreslåtte tiltak, coach og fasilitator egenskaper",Brønnøysundregistrene,Offentlig og stat,2021
Prosjektleder Forprosjekt Medlemssystem,Prosjektledelse,,,,LoFavør,Bank og forsikring,2022
Leder for anskaffelse av DMP,Prosjektledelse,,,,LO,Handel og industri,2022
Rådgiver for IT-sourcing,Rådgivning teknisk,"Identifisere, definere og etablere sourcingstrategi for IT-utviklingspartner","Erfaring med å fasilitere prosesser, anbefale kontraktsrammeverk, gjennomføre anskaffelser",,Flytoget AS,Offentlig og stat,2022
Implementere ny porteføljestyringsprosess,Prosessledelse og fasilitering,"Kompetanse innen porteføljestyring, prosessforenkling og implementering av verktøy",Erfaring med implementering og forvaltning av porteføljestyring i kommunal sektor,"Operativ evne, prioritere og planlegge effektivt",Lørenskog kommune,Kommuner,2022
Revidere digitaliseringsstrategi,Rådgivning teknisk,Kompetanse innen digitaliseringsstrategi og IKT/skystrategi,Erfaring med revisjon av digitale strategier og teknologiadopsjon i offentlig sektor,"Strategisk tenkning, analytiske ferdigheter",Lørenskog kommune,Kommuner,2022
Arbeid innen arkitekturstyring,Virksomhetsarkitektur,Kompetanse innen arkitekturstyring og systemintegrasjon,Erfaring fra arkitekturstyring i komplekse organisasjoner,"Detaljorientert, evne til å finne helhetlige løsninger",Lørenskog kommune,Kommuner,2022
Prosjektledelse/støtte til interne prosjektledere,Prosjektledelse,"Prosjektledelse, særlig innen ERP, datavarehus og nettportalutvikling",Erfaring med ledelse av IT-relaterte prosjekter i offentlig sektor,"Lederskap, kommunikasjonsevner, tilpasningsevne",Lørenskog kommune,Kommuner,2022
Prosjektleder for anskaffelsesprosjektet,Prosjektledelse,,,,Lørenskog kommune,Kommuner,2022
Prosjektleder for ERP-konseptutredning,Prosjektledelse,Erfaring med ERP-konseptutredning og modernisering innenfor skybaserte systemer,"Erfaring med ledelse av konseptutredning i offentlig sektor, spesielt innen ERP-systemer","Gode koordinerings- og kommunikasjonsferdigheter, evne til å lede møter og samhandle med ulike interessenter",Lørenskog kommune,Kommuner,2022
Virksomhetsarkitekt,Virksomhetsarkitektur,"Skal ha kjennskap til behovskartlegging, brukerhistorier, og markedsanalyse innen statlige etater.",Erfaring med utarbeidelse av arkitekturmålbilder og beslutningsgrunnlag for styringsverktøy.,"Selvstendig med fremdriftsansvar, samarbeid med intern og ekstern team.",Statens vegvesen,Offentlig og stat,2022
Prosjektleder for CMS New Build,Prosjektledelse,Kompetanse i utredning og driftsformer for CMS på IRIS/Cache plattformen,Erfaring med oppgradering av medikamentell kreftbehandlingsløsning til ny driftsplattform,,Sykehuspartner,Helse,2022
Delprosjektledere - SP – Windows 10 Fase 3,Prosjektledelse,,,,Sykehuspartner,Helse,2022
"Prosessledelse, prosessanalyse og prosessutvikling",Prosessledelse og fasilitering,,,,NVE,Offentlig og stat,2022
Program- og prosjektstøtte,Prosjektledelse,,,,NVE,Offentlig og stat,2022
Ekstern kvalitetssikring for datadrevet program,Offentlig kvalitetssikring,Erfaring med ekstern kvalitetssikring iht. prosjektstyringsmetoder,Tidligere arbeid i tettsamarbeid med program- og prosjektledere for å sikre måloppnåelse og leveranser,"Evne til å holde tett dialog og gi råd, utføre usikkerhetsanalyser, og lede periodisk kvalitetssikring",Skatteetaten,Offentlig og stat,2022
Prosjektleder for konseptutredning av løsninger,Prosjektledelse,,,,Integrerings- og mangfoldsdirektoratet (IMDi),Offentlig og stat,2022
Prosjektleder for kartlegging av behov for styringsinformasjon,Prosjektledelse,"Kompetanse i prosjektledelse, intervjuer, balansert målstyring, målstyringsmodell, Miro, kartlegging og analyse",Erfaring med prosjektledelse og kartlegging av behov for styringsinformasjon,Egenskaper som sikrer god forankring i organisasjonen,Drammen kommune,Kommuner,2022
Rådgiver for virksomhetsstyring,Rådgivning forretning,Kompetanse i virksomhetsstyring og analyse,Erfaring med kartlegging av ledernes behov for styringsinformasjon,Egenskaper som sikrer god forankring i programområdet,Drammen kommune,Kommuner,2022
Prosessleder for strategiske anskaffelser,Prosessledelse og fasilitering,"Erfaring med offentlige anskaffelser, ledelse av tverrfaglige prosjekter og prosesser. Evne til å bygge bro mellom tverrfaglig miljø.","Erfaring med offentlige anskaffelser, ledelse av tverrfaglige prosjekter og prosesser.","Høy etisk standard, bevissthet rundt likebehandling, evne til å bygge relasjoner, nysgjerrig, ansvarlig.",Ruter AS,Offentlig og stat,2022
Kvalitetssikring av konseptvalgutredning (KS1),Offentlig kvalitetssikring,,,,Finansdepartementet,Offentlig og stat,2022
Kvalitetssikring for prosjekt FNSM,Offentlig kvalitetssikring,"Kompetanse om kvalitetssikring, styring, kontraktsstrategi, erfaring med forsvarsprosjekter",Erfaring med kvalitetssikring i store forsvarsprosjekter og samarbeid med internasjonale partnere,"Evne til å lede intervjuer, møteledelse, gi strategiske anbefalinger",Finansdepartementet,Forsvar,2022
Rådgiver/Lederstøtte for digitale kommunikasjonsløsninger,Produkt- og tjenesteansvar,Stor interesse for digitale kommunikasjonsløsninger,Erstatning for ledende medarbeider i permisjon ved HDO,Kreative medarbeidere med god teknologiforståelse som liker å jobbe sammen med andre gjennom tverrfaglig arbeid,Helsetjenestens driftsorganisasjon for nødnett HF,Helse,2022
Prosessleder for utviklingsprosess i divisjon kvalitet og forløp,Prosessledelse og fasilitering,"Erfaring med prosessledelse og utviklingsprosesser, kartlegging av forbedringsområder og forslag til tiltak",Tidligere erfaring som prosessleder i utviklingsprosesser; erfaring med workshopledelse og fasilitering,"Involverende, målrettet, god til å fasilitere workshops, evne til å sikre forankring og gjennomføringskraft",Helsedirektoratet,Helse,2022
PL Datamigrering TietoEvry og ansvar fusjoner,Prosjektledelse,Sterk bankfaglig kompetanse,"Erfaring med ledelse og koordinering på tvers av SDC, Tietoevry og alle bankene",,Eika Gruppen AS,Bank og forsikring,2022
